  0	8.716
  1	8.589
  2	12.446
  3	16.138
  4	19.527
  5	25.048
  6	25.659
  7	28.688
  8	32.613
  9	37.462
 10	40.911
 11	43.891
 12	46.139
 13	49.489
 14	52.925
 15	56.306
 16	61.255
 17	65.256
 18	65.769
 19	65.928
 20	67.476
 21	68.018
 22	69.347
 23	74.237
 24	81.272
 25	86.223
 26	88.727
 27	90.280
 28	85.151
 29	87.027
 30	98.287
 31	110.155
 32	122.312
 33	126.477
 34	128.066
 35	131.452
 36	134.678
 37	136.236
 38	137.190
 39	147.220
 40	146.285
 41	152.906
 42	157.428
 43	161.527
 44	168.788
 45	183.808
 46	166.324
 47	192.156
 48	197.580
 49	197.964
 50	186.769
 51	194.048
 52	183.954
 53	197.313
 54	184.838
 55	196.828
 56	198.857
 57	216.735
 58	204.959
 59	205.836
 60	206.589
 61	207.134
 62	212.456
 63	206.765
 64	220.436
 65	229.607
 66	220.835
 67	239.850
 68	212.604
 69	249.178
 70	230.826
 71	201.874
 72	271.311
 73	287.882
 74	306.843
 75	258.500
 76	268.848
 77	283.727
 78	213.602
 79	264.490
 80	159.574
 81	243.535
 82	270.375
 83	269.265
 84	293.775
 85	130.044
 86	216.507
 87	204.808
 88	175.964
 89	378.493
 90	261.890
 92	275.712
 93	412.614
 94	333.546
 95	359.961
 96	194.892
 97	212.467
 98	233.286
 99	305.283
100	53.279
101	99.727
102	190.535
103	348.598
104	374.816
106	303.247
108	518.050
110	294.895
112	166.573
113	66.970
114	159.170
118	185.677
124	192.800
127	206.175
140	250.822
143	284.993
147	20.580
152	136.580
153	-0.487
158	45.847
159	120.460
160	8.993
161	320.380
165	45.203
167	92.830
168	37.328
169	174.202
170	30.930
171	35.042
172	26.257
174	64.314
175	38.248
176	75.368
177	293.687
179	304.772
180	46.793
181	27.878
182	173.972
183	23.293
184	39.769
185	30.982
189	333.560
191	24.327
