(0,8.716027658803418)
(8,32.61318422082789)
(16,61.254555811797594)
(24,81.27215422762818)
(32,122.3122864928604)
(40,146.28453352097625)
(48,197.57973023524156)
(56,198.85686564534458)
(64,220.43560019493103)
(72,271.31142745131535)
(80,159.57444519466824)
(88,175.96374935656786)
(96,194.8924961090088)
(104,374.81599364280703)
(112,166.57250447571278)
(128,161.50999572873116)
(136,261.06500005722046)
(152,136.57999596993128)
(160,8.993333419164022)
(168,37.328333020210266)
(176,75.36750030517578)
(184,39.76857049124582)
(192,641.02001953125)
(-3390584,4.300000190734863)
(1,8.588929752755128)
(9,37.46191547494387)
(17,65.25565655356682)
(25,86.22271499212076)
(33,126.47684516195156)
(41,152.90619001483046)
(49,197.96417836702034)
(57,216.73500025346874)
(65,229.6068566441536)
(73,287.8816656006707)
(81,243.53499990701675)
(89,378.4933166503906)
(97,212.46665851275125)
(105,145.54999390244484)
(113,66.97000102202098)
(129,0.7999999821186066)
(153,-0.4866666793823242)
(161,320.37999598185223)
(169,174.2020051956177)
(177,293.68749636411667)
(185,30.981999921798707)
(193,64.17000007629395)
(2,12.445617702113037)
(10,40.91088156729072)
(18,65.76868764295966)
(26,88.72700575676296)
(34,128.0664791017471)
(42,157.42825183528333)
(50,186.7686491930807)
(58,204.9587027474686)
(66,220.83499949024275)
(74,306.8433338801066)
(82,270.3749969800313)
(90,261.88999500274656)
(98,233.28599734306334)
(106,303.24749851226807)
(114,159.16999713579813)
(122,441.88499450683594)
(130,185.81500244140625)
(138,600.2999877929688)
(154,481.1200122833252)
(162,8.630000114440918)
(170,30.930000257492065)
(178,5.630000114440918)
(186,60.59000015258789)
(3,16.138285531192118)
(11,43.89113472168217)
(19,65.9278350051605)
(27,90.28019491646623)
(35,131.451858760311)
(43,161.52718914064224)
(51,194.0479843070527)
(59,205.83590815284035)
(67,239.84974296276386)
(75,258.4999967983791)
(83,269.2649989128113)
(91,29.325000077486038)
(99,305.2825003564358)
(107,0.30000001192092896)
(123,415.0)
(147,20.57999978462855)
(155,64.04500007629395)
(163,9.235000133514404)
(171,35.041666915019356)
(179,304.77249908447266)
(4,19.526941180964492)
(12,46.13909956107769)
(20,67.47635837823323)
(28,85.15073434343482)
(36,134.67798954012704)
(44,168.78795790291846)
(52,183.9536755472167)
(60,206.58939986467362)
(68,212.60366639494896)
(76,268.8477766248915)
(84,293.77499771118164)
(92,275.71199889183043)
(100,53.27854128368199)
(108,518.0499969482422)
(116,333.5699920654297)
(124,192.79999701182047)
(132,54.465001583099365)
(140,250.8224985152483)
(148,104.82000160217285)
(156,63.36000061035156)
(164,52.79999923706055)
(172,26.256666938463848)
(180,46.79333368937174)
(188,8.630000114440918)
(196,588.7999877929688)
(5,25.047612273895428)
(13,49.48874379166106)
(21,68.01783459478679)
(29,87.02701584105804)
(37,136.2357345067371)
(45,183.8083978455584)
(53,197.31318705852053)
(61,207.13441800239474)
(69,249.17760074615478)
(77,283.72749889393646)
(85,130.04444232914182)
(93,412.6140106201172)
(101,99.72666244705518)
(109,8.0)
(117,0.8100000023841858)
(157,33.33000028133392)
(165,45.20333353678385)
(181,27.878333409627277)
(189,333.5600051879883)
(197,676.9050269126892)
(6,25.658785742972555)
(14,52.92496220992323)
(22,69.34671034432773)
(30,98.28695313267782)
(38,137.1895116311043)
(46,166.32364746893154)
(54,184.83826458636597)
(62,212.4556106125436)
(70,230.82599851608276)
(78,213.60157577615036)
(86,216.5071385247367)
(94,333.5457126072475)
(102,190.5349986553192)
(110,294.8949937596917)
(118,185.67666522661844)
(126,687.8400268554688)
(134,42.594998836517334)
(150,82.03000259399414)
(158,45.846667210261025)
(166,17.044999599456787)
(174,64.31375068426132)
(182,173.97249698638916)
(190,70.0)
(7,28.687974436628252)
(15,56.305745339019964)
(23,74.2374114446978)
(31,110.15530353732399)
(39,147.21995830586508)
(47,192.1561636786128)
(55,196.82848819813063)
(63,206.76467906287377)
(71,201.87352774423712)
(79,264.48999507427214)
(87,204.80833367506662)
(95,359.96142098733355)
(103,348.59799613952634)
(111,257.5499938726425)
(119,442.8699951171875)
(127,206.17499388754368)
(135,593.9949951171875)
(143,284.99332904815674)
(151,58.34000015258789)
(159,120.45999785831997)
(167,92.83000107109547)
(175,38.24800028800964)
(183,23.29250045120716)
(191,24.32666677236557)
(199,16.33500039577484)
